event_id,session_id,event_type,event_time
1,1,view_product,"2024-03-01 10:00:00"
2,1,add_to_cart,"2024-03-01 10:05:00"
3,1,purchase,"2024-03-01 10:10:00"
4,2,view_product,"2024-03-03 09:00:00"
5,2,view_product,"2024-03-03 09:03:00"
6,3,view_product,"2024-03-02 14:00:00"
7,3,add_to_cart,"2024-03-02 14:08:00"
8,4,view_product,"2024-03-03 16:00:00"
9,4,add_to_cart,"2024-03-03 16:06:00"
10,4,purchase,"2024-03-03 16:10:00"
11,5,view_product,"2024-03-04 11:00:00"
12,5,purchase,"2024-03-04 11:12:00"
13,6,view_product,"2024-03-04 13:00:00"
14,7,view_product,"2024-03-05 15:00:00"
15,7,add_to_cart,"2024-03-05 15:12:00"
16,8,view_product,"2024-03-06 10:00:00"
17,8,add_to_cart,"2024-03-06 10:07:00"
18,8,purchase,"2024-03-06 10:15:00"
19,9,view_product,"2024-03-06 18:00:00"
20,9,view_product,"2024-03-06 18:04:00"
21,10,view_product,"2024-03-07 09:00:00"
22,10,purchase,"2024-03-07 09:11:00"
23,11,view_product,"2024-03-08 08:00:00"
24,11,add_to_cart,"2024-03-08 08:10:00"
25,11,purchase,"2024-03-08 08:20:00"
26,12,view_product,"2024-03-08 19:00:00"
27,13,view_product,"2024-03-09 12:00:00"
28,13,add_to_cart,"2024-03-09 12:10:00"
29,14,view_product,"2024-03-10 17:00:00"
30,14,purchase,"2024-03-10 17:09:00"
31,15,view_product,"2024-03-11 14:00:00"
32,15,add_to_cart,"2024-03-11 14:10:00"
33,16,view_product,"2024-03-12 20:00:00"
34,16,add_to_cart,"2024-03-12 20:06:00"
35,16,purchase,"2024-03-12 20:12:00"
